,年,週,年齡別,縣市,腸病毒急診就診人次
321,2007,24,7-15,新北市,2
322,2007,28,4-6,新竹市,12
323,2007,29,0,新竹市,1
324,2007,29,1-3,基隆市,6
325,2007,29,1-3,新北市,47
326,2007,29,1-3,彰化縣,20
327,2007,29,4-6,桃園市,12
328,2007,29,4-6,基隆市,7
329,2007,29,0,苗栗縣,5
330,2007,29,7-15,澎湖縣,1
331,2007,30,4-6,澎湖縣,3
332,2007,30,0,屏東縣,1
333,2007,31,16+,嘉義市,1
334,2007,32,1-3,雲林縣,5
335,2007,33,4-6,澎湖縣,6
336,2007,34,1-3,台中市,29
337,2007,34,4-6,宜蘭縣,1
338,2007,35,1-3,台南市,33
339,2007,37,4-6,基隆市,1
340,2007,37,4-6,彰化縣,2
341,2007,39,1-3,花蓮縣,8
342,2007,39,1-3,苗栗縣,6
343,2007,42,1-3,高雄市,45
344,2007,1,4-6,彰化縣,1
345,2007,2,1-3,桃園市,5
346,2007,4,0,台北市,1
347,2007,4,0,高雄市,1
348,2007,6,1-3,台中市,9
349,2007,8,16+,苗栗縣,1
350,2007,9,1-3,台中市,5
351,2007,14,4-6,桃園市,1
352,2007,18,4-6,高雄市,1
353,2007,19,4-6,新竹市,3
354,2007,21,0,雲林縣,1
355,2007,21,1-3,桃園市,17
356,2007,21,0,台中市,1
357,2007,22,0,台南市,1
358,2007,22,1-3,南投縣,8
359,2007,22,1-3,新竹縣,2
360,2007,23,1-3,台南市,27
361,2007,23,4-6,台南市,8
362,2007,24,0,台東縣,1
363,2007,25,16+,彰化縣,1
364,2007,25,4-6,嘉義縣,1
365,2007,25,0,基隆市,4
366,2007,26,0,桃園市,9
367,2007,5,16+,台中市,1
368,2007,6,1-3,宜蘭縣,1
369,2007,8,1-3,花蓮縣,1
370,2007,10,1-3,台中市,2
371,2007,15,0,台南市,1
372,2007,16,0,新北市,1
373,2007,20,0,桃園市,2
374,2007,22,1-3,宜蘭縣,5
375,2007,22,1-3,新北市,7
376,2007,22,4-6,桃園市,6
377,2007,23,0,台南市,5
378,2007,23,16+,屏東縣,1
379,2007,25,0,台南市,8
380,2007,25,7-15,台北市,5
381,2007,26,0,台中市,2
382,2007,27,16+,台南市,1
383,2007,27,0,屏東縣,4
384,2007,28,0,雲林縣,1
385,2007,28,1-3,南投縣,18
386,2007,28,4-6,新竹縣,1
387,2007,29,16+,台北市,1
388,2007,29,1-3,桃園市,59
389,2007,30,0,台南市,1
390,2007,28,0,基隆市,1
391,2007,28,1-3,桃園市,35
392,2007,29,1-3,嘉義市,3
393,2007,29,4-6,雲林縣,1
394,2007,30,0,新竹市,5
395,2007,31,16+,雲林縣,1
396,2007,31,1-3,苗栗縣,16
397,2007,32,1-3,台東縣,1
398,2007,33,1-3,彰化縣,11
399,2007,33,4-6,台中市,5
400,2007,34,7-15,澎湖縣,1
401,2007,35,1-3,宜蘭縣,5
402,2007,35,0,澎湖縣,1
403,2007,35,7-15,澎湖縣,1
404,2007,36,4-6,新竹縣,1
405,2007,36,0,彰化縣,2
406,2007,37,4-6,新竹縣,1
407,2007,37,4-6,嘉義市,3
408,2007,38,0,嘉義市,1
409,2007,39,4-6,新北市,8
410,2007,39,0,台中市,6
411,2007,40,7-15,桃園市,3
412,2007,2,1-3,高雄市,5
413,2007,5,4-6,高雄市,1
414,2007,10,4-6,台北市,1
415,2007,12,1-3,台中市,2
416,2007,12,1-3,台北市,3
417,2007,13,1-3,花蓮縣,1
418,2007,14,1-3,苗栗縣,2
419,2007,15,4-6,台南市,1
420,2007,16,1-3,新竹市,8
421,2007,16,0,台中市,3
422,2007,20,1-3,新北市,7
423,2007,20,4-6,台南市,3
424,2007,21,1-3,台南市,19
425,2007,24,1-3,南投縣,11
426,2007,26,4-6,台中市,11
427,2007,26,0,宜蘭縣,1
428,2007,27,1-3,彰化縣,35
429,2007,27,4-6,嘉義市,4
430,2007,27,4-6,彰化縣,10
431,2007,27,0,宜蘭縣,1
432,2007,28,4-6,南投縣,6
433,2007,28,0,台東縣,2
434,2007,30,1-3,苗栗縣,9
435,2007,4,4-6,桃園市,1
436,2007,5,0,彰化縣,1
437,2007,7,0,台北市,2
438,2007,7,0,台南市,1
439,2007,7,0,桃園市,1
440,2007,13,1-3,宜蘭縣,2
441,2007,14,0,雲林縣,1
442,2007,16,0,嘉義市,1
443,2007,16,1-3,台東縣,4
444,2007,16,1-3,新竹縣,1
445,2007,16,4-6,桃園市,1
446,2007,17,1-3,台東縣,2
447,2007,19,1-3,基隆市,1
448,2007,19,1-3,新竹縣,1
449,2007,20,4-6,台東縣,3
450,2007,20,0,花蓮縣,1
451,2007,20,0,苗栗縣,1
452,2007,22,7-15,台中市,1
453,2007,23,1-3,新北市,13
454,2007,26,1-3,苗栗縣,6
455,2007,26,0,基隆市,1
456,2007,26,0,新竹縣,1
457,2007,26,7-15,基隆市,2
458,2007,11,0,苗栗縣,2
459,2007,13,1-3,苗栗縣,1
460,2007,15,4-6,彰化縣,2
461,2007,16,4-6,台中市,1
462,2007,16,4-6,台北市,4
463,2007,17,0,台北市,1
464,2007,17,4-6,台北市,2
465,2007,18,1-3,桃園市,4
466,2007,19,0,台北市,1
467,2007,19,1-3,澎湖縣,1
468,2007,20,0,台東縣,1
469,2007,22,1-3,台中市,42
470,2007,22,7-15,高雄市,1
471,2007,24,0,苗栗縣,2
472,2007,26,4-6,台南市,3
473,2007,27,4-6,台南市,10
474,2007,27,4-6,新竹市,6
