年,週,mean_value
2012,22,23.41666666666667
2012,23,34.5
2012,24,6.583333333333332
2012,25,30.20833333333333
2012,26,33.875
2012,27,31.375
2012,28,32.375
2012,29,26.83333333333333
2012,30,11.916666666666664
2012,31,32.125
2012,32,36.75
2012,33,19.70833333333333
2012,34,13.291666666666664
2012,35,39.083333333333336
2012,36,23.625
2012,37,31.875
2012,38,50.42857142857143
2012,39,39.375
2012,40,31.5
2012,41,35.625
2012,42,38.0
2012,43,36.625
2012,44,45.375
2012,45,46.33333333333334
2012,46,44.125
2012,47,28.75
2012,48,35.17391304347826
2012,49,31.79166666666667
2012,50,22.04166666666667
2012,51,22.04166666666667
2012,52,33.625
2013,1,20.75
2013,2,23.20833333333333
2013,3,35.416666666666664
2013,4,48.16666666666666
2013,5,36.60869565217392
2013,6,46.21739130434783
2013,7,55.21739130434783
2013,8,52.375
2013,9,67.625
2013,10,50.70833333333334
2013,11,48.5
2013,12,53.66666666666666
