日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/05,松山,NO2,12,8.7,8.6,6.9,5,7.5,19,29,36,38,36#,32#,33,30,32,37,41,40,39,38,35,35,34,29
2012/01/05,松山,NOx,14,11,10,8.4,5.7,8.9,23,42,58,65,54#,46#,46,42,44,52,68,76,70,70,50,50,46,35
2012/01/05,松山,O3,27,28,28,31,34,31,18,8.9,4.1,3.9,5.4,9.4#,9.1,12,11,5.5,3.5,1.8,2.3,2.7,2.5,3.9,3.6,-.4#
2012/01/05,松山,PM10,46,44,37,31,27,15,16,24,22,29,,34,32,21,19,24,36,44,38,29,13,13,15,15
2012/01/05,松山,PM2.5,29,23,23,27,21,26,24,27,27,25,,19,15,14,22,24,24,26,22,22,17,18,16,13
2012/01/05,松山,RAINFALL,NR,0.2,0.2,0.4,0.2,1.2,0.2,1.6,0.6,1,2.2,1.6,1.4,0.8,0.4,0.2,0.2,NR,NR,NR,NR,NR,NR,1.2
2012/01/05,松山,RH,76,79,81,84,84,86,87,87,88,88,87,88,88,88,87,87,87,87,87,87,87,86,85,86
2012/01/05,松山,SO2,4.5,2.8,2.6,2.6,1.9,1.8,3.2,2.7,4.3,5.3,4.7#,3.4#,3,3.3,3,2.9,2.6,3.4,4.3,4.2,3.4,3.6,4,2.7
2012/01/05,松山,THC,2,2,2,2,2,2,2,2.1,2.2,2.2,2.2#,2.2,2.2,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2
2012/01/05,松山,WD_HR,78,72,76,77,86,94,91,85,83,82,76,81,82,69,75,86,82,90,86,87,92,89,81,91
2012/01/05,松山,WIND_DIREC,83,65,103,74,95,124,92,89,90,57,78,81,82,64,60,80,91,93,98,99,81,72,77,84
2012/01/05,松山,WIND_SPEED,2.5,3.1,1.4,1.9,2.3,1.1,1.7,1.2,1.5,1.8,1.5,1.6,1.7,2,1.6,1.5,2.2,1.5,2.1,1.7,1.4,1.7,1.7,1.5
2012/01/05,松山,WS_HR,1.9,2,1.7,1.5,1.9,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.8,1.4,1.4,1.3,1.3,1.6,1.6,1.7,2.2,1.8,1.5
2012/01/06,松山,AMB_TEMP,14,14,14,15,15,15,15,15,15,16,16,16,16,17,17,17,17,16,16,16,16,16,16,15
2012/01/06,松山,CH4,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.3,2.3,2.3,2.3,2.1,2,1.9,1.9,1.9,2,1.9,1.9,1.9
2012/01/06,松山,CO,0.49,0.44,0.36,0.33,0.3,0.32,0.4,0.9,1.56,1.59,1.44,2,1.72,1.69,1.49,0.62,0.49,0.47,0.58,0.54,0.45,0.48,0.46,0.38
2012/01/06,松山,NMHC,0.17,0.16,0.13,0.12,0.11,0.1,0.13,0.31,0.58,0.62,0.63,0.81,0.82,0.77,0.73,0.34,0.29,0.24,0.23,0.2,0.16,0.15,0.13,0.11
