年,週,mean_value
2012,21,23.869565217391305
2012,22,24.45833333333333
2012,23,27.54166666666667
2012,24,28.58333333333333
2012,25,29.6
2012,26,22.83333333333333
2012,27,23.782608695652176
2012,28,24.70833333333333
2012,29,26.133333333333336
2012,30,13.5875
2012,31,23.13181818181818
2012,32,27.45833333333333
2012,33,21.820833333333336
2012,34,10.120833333333334
2012,35,24.58333333333333
2012,36,13.683333333333332
2012,37,18.304166666666667
2012,38,26.869565217391305
2012,39,22.641666666666666
2012,40,24.43333333333333
2012,41,18.054166666666667
2012,42,21.3625
2012,43,28.41666666666667
2012,44,20.379166666666666
2012,45,33.25
2012,46,25.26086956521739
2012,47,31.772727272727273
2012,48,41.829166666666666
2012,49,25.03333333333333
2012,50,34.125
