年,週,mean_value
2012,23,1.9833333333333332
2012,24,2.004166666666667
2012,25,2.0478260869565217
2012,26,1.9791666666666667
2012,27,1.8916666666666664
2012,28,1.8608695652173912
2012,29,1.9
2012,30,1.8083333333333331
2012,31,2.0
2012,32,1.9708333333333328
2012,33,1.9
2012,34,1.7749999999999997
2012,35,1.9333333333333336
2012,36,1.8125
2012,37,1.9125
2012,38,1.9916666666666665
2012,39,2.033333333333333
2012,40,1.9347826086956519
2012,41,1.9541666666666668
2012,42,1.9416666666666664
2012,43,2.0291666666666663
2012,44,1.9833333333333332
2012,45,2.0083333333333333
2012,46,2.0500000000000003
2012,47,2.0375
2012,48,2.158333333333333
2012,49,1.9416666666666664
2012,50,2.1416666666666666
2012,51,2.0545454545454542
2012,52,1.9
2013,1,2.0500000000000003
2013,2,1.9083333333333328
2013,3,1.9695652173913043
2013,4,2.0090909090909093
2013,5,2.208333333333333
2013,6,2.226086956521739
2013,7,2.208333333333333
2013,8,2.220833333333333
2013,9,2.2125
2013,10,2.145833333333333
2013,11,2.2416666666666667
2013,12,2.25
2013,13,1.9608695652173909
2013,14,2.170833333333333
2013,15,2.2
2013,16,2.1958333333333333
2013,17,2.1041666666666665
2013,18,2.2
2013,19,1.9625
2013,20,2.0625
2013,21,1.9541666666666664
2013,22,1.95
2013,23,1.9
2013,24,1.8958333333333333
2013,25,1.9541666666666664
2013,26,1.8916666666666668
2013,27,1.9458333333333333
2013,28,1.8958333333333333
2013,29,1.8791666666666664
2013,30,1.8666666666666665
2013,31,1.8666666666666665
2013,32,1.8782608695652168
2013,33,1.8500000000000003
2013,34,1.9750000000000003
2013,35,1.9333333333333336
2013,36,1.9958333333333331
2013,37,1.8304347826086955
2013,38,1.8625
2013,39,1.8083333333333331
2013,40,1.8541666666666667
2013,41,1.9666666666666668
2013,42,1.8608695652173912
2013,43,1.85
2013,44,1.9416666666666664
2013,45,1.9625
2013,46,2.0708333333333333
2013,47,2.075
2013,48,2.0043478260869563
2013,49,2.0625
2013,50,2.083333333333333
2013,51,1.9291666666666665
2013,52,1.9916666666666665
2014,1,2.1
2014,2,2.1375
2014,3,2.0166666666666666
2014,4,2.1291666666666664
2014,5,2.170833333333333
2014,6,2.1125000000000003
2014,7,2.17
2014,8,2.3041666666666667
2014,9,2.2458333333333336
2014,10,2.125
2014,11,2.2625
2014,12,2.270833333333333
2014,13,2.1478260869565218
2014,14,2.025
2014,15,2.0791666666666666
2014,16,2.1047619047619044
2014,17,2.1
2014,18,2.0541666666666667
2014,19,2.125
2014,20,2.0791666666666666
2014,21,2.2125
2014,22,2.025
2014,23,1.9750000000000003
2014,24,1.9083333333333328
2014,25,1.9583333333333333
2014,26,1.917391304347826
2014,27,1.8791666666666664
2014,28,1.8791666666666669
2014,29,1.8375
2014,30,1.9166666666666667
2014,31,1.9416666666666664
2014,32,1.9416666666666669
2014,33,1.929166666666667
2014,34,1.8916666666666664
2014,35,1.8458333333333332
2014,36,1.8458333333333328
2014,37,1.8789473684210527
2014,38,1.8
2014,39,1.975
2014,40,1.9375
2014,41,1.9375
2014,42,2.020833333333333
2014,43,2.029166666666667
2014,44,1.925
2014,45,1.9041666666666668
2014,46,1.9416666666666669
2014,47,1.8666666666666665
2014,48,1.9833333333333327
2014,49,1.9130434782608696
2014,50,1.9416666666666664
2014,51,2.079166666666667
2014,52,2.0416666666666665
2015,1,2.1791666666666667
2015,2,2.3458333333333337
2015,3,1.9125
2015,4,2.0500000000000003
2015,5,2.0217391304347827
2015,6,1.95
2015,7,2.108333333333333
2015,8,2.125
2015,9,2.0375
2015,10,2.0458333333333334
2015,11,2.0375
2015,12,1.9875
2015,13,2.0142857142857142
2015,14,2.095652173913044
2015,15,1.9666666666666663
2015,16,2.0541666666666667
2015,17,1.9125
2015,18,1.9875
2015,19,2.1333333333333333
2015,20,2.0
2015,21,1.9541666666666664
2015,22,2.1166666666666667
2015,23,1.8833333333333333
2015,24,1.9083333333333332
2015,25,1.8695652173913044
2015,26,1.8541666666666667
2015,27,1.8458333333333328
2015,28,1.8791666666666664
2015,29,1.9416666666666664
2015,30,1.813043478260869
